origin,split,model,score,n_rows,actual_sum
2022-04-14,selection,ensemble_bucket_selected,0.455719423653319,672.0,1068.0
2022-04-14,selection,ensemble_selected,0.4510898541216208,672.0,1068.0
2022-04-14,selection,etr,0.4510898541216208,672.0,1068.0
2022-04-14,selection,item_topdown,0.42773252555467195,672.0,1068.0
2022-04-14,selection,lgbm,0.4123268038342418,672.0,1068.0
2022-04-14,selection,wbaseline,0.3857542925634601,672.0,1068.0
2022-04-21,selection,ensemble_bucket_selected,0.46190677634762156,672.0,1173.0
2022-04-21,selection,ensemble_selected,0.4658867128889984,672.0,1173.0
2022-04-21,selection,etr,0.4658867128889984,672.0,1173.0
2022-04-21,selection,item_topdown,0.40936128145914813,672.0,1173.0
2022-04-21,selection,lgbm,0.4004381113519783,672.0,1173.0
2022-04-21,selection,wbaseline,0.36374270007068205,672.0,1173.0
2022-04-28,selection,ensemble_bucket_selected,0.49183651277931106,672.0,1327.0
2022-04-28,selection,ensemble_selected,0.4773238325307304,672.0,1327.0
2022-04-28,selection,etr,0.4773238325307304,672.0,1327.0
2022-04-28,selection,item_topdown,0.4231608642041573,672.0,1327.0
2022-04-28,selection,lgbm,0.41486927773724125,672.0,1327.0
2022-04-28,selection,wbaseline,0.38420536130281335,672.0,1327.0
2022-05-05,selection,ensemble_bucket_selected,0.42688280435616427,672.0,1865.0
2022-05-05,selection,ensemble_selected,0.43089328286751516,672.0,1865.0
2022-05-05,selection,etr,0.43089328286751516,672.0,1865.0
2022-05-05,selection,item_topdown,0.3168448186142852,672.0,1865.0
2022-05-05,selection,lgbm,0.3461449538058748,672.0,1865.0
2022-05-05,selection,wbaseline,0.279956585808195,672.0,1865.0
2022-05-12,selection,ensemble_bucket_selected,0.451826992260246,672.0,2183.0
2022-05-12,selection,ensemble_selected,0.4523984946957101,672.0,2183.0
2022-05-12,selection,etr,0.4523984946957101,672.0,2183.0
2022-05-12,selection,item_topdown,0.3409636698818114,672.0,2183.0
2022-05-12,selection,lgbm,0.3789948399463314,672.0,2183.0
2022-05-12,selection,wbaseline,0.318199774085178,672.0,2183.0
2022-05-19,selection,ensemble_bucket_selected,0.38831065100879547,672.0,2803.0
2022-05-19,selection,ensemble_selected,0.3914054835764338,672.0,2803.0
2022-05-19,selection,etr,0.3914054835764338,672.0,2803.0
2022-05-19,selection,item_topdown,0.3157296585463518,672.0,2803.0
2022-05-19,selection,lgbm,0.3328452507393221,672.0,2803.0
2022-05-19,selection,wbaseline,0.3024291041668351,672.0,2803.0
2022-05-26,selection,ensemble_bucket_selected,0.4125416937191436,672.0,3423.0
2022-05-26,selection,ensemble_selected,0.41338051366596684,672.0,3423.0
2022-05-26,selection,etr,0.41338051366596684,672.0,3423.0
2022-05-26,selection,item_topdown,0.3389959913163493,672.0,3423.0
2022-05-26,selection,lgbm,0.37199322226652454,672.0,3423.0
2022-05-26,selection,wbaseline,0.33033433753418173,672.0,3423.0
2022-06-02,selection,ensemble_bucket_selected,0.5002306069898357,672.0,3431.0
2022-06-02,selection,ensemble_selected,0.4966737672319518,672.0,3431.0
2022-06-02,selection,etr,0.4966737672319518,672.0,3431.0
2022-06-02,selection,item_topdown,0.45084254808256696,672.0,3431.0
2022-06-02,selection,lgbm,0.48479358779010767,672.0,3431.0
2022-06-02,selection,wbaseline,0.39739701158875945,672.0,3431.0
2022-06-09,holdout,ensemble_bucket_selected,0.5265541656867961,672.0,3638.0
2022-06-09,holdout,ensemble_selected,0.5251803530226783,672.0,3638.0
2022-06-09,holdout,etr,0.5251803530226783,672.0,3638.0
2022-06-09,holdout,item_topdown,0.4760226443670146,672.0,3638.0
2022-06-09,holdout,lgbm,0.5028531574316115,672.0,3638.0
2022-06-09,holdout,wbaseline,0.40683172398176265,672.0,3638.0
2022-06-16,holdout,ensemble_bucket_selected,0.5847781434430896,672.0,3509.0
2022-06-16,holdout,ensemble_selected,0.5857949446244786,672.0,3509.0
2022-06-16,holdout,etr,0.5857949446244786,672.0,3509.0
2022-06-16,holdout,item_topdown,0.5134686183801386,672.0,3509.0
2022-06-16,holdout,lgbm,0.565647015250633,672.0,3509.0
2022-06-16,holdout,wbaseline,0.4363416604371071,672.0,3509.0
ALL_HOLDOUT,holdout,ensemble_bucket_selected,0.5551406968113006,1344.0,7147.0
ALL_HOLDOUT,holdout,ensemble_selected,0.5549406163402546,1344.0,7147.0
ALL_HOLDOUT,holdout,etr,0.5549406163402546,1344.0,7147.0
ALL_HOLDOUT,holdout,item_topdown,0.494407690234099,1344.0,7147.0
ALL_HOLDOUT,holdout,lgbm,0.5336833864909296,1344.0,7147.0
ALL_HOLDOUT,holdout,wbaseline,0.4213203719489942,1344.0,7147.0
ALL_SELECTION,selection,ensemble_bucket_selected,0.44465483614684315,5376.0,17273.0
ALL_SELECTION,selection,ensemble_selected,0.44399111067989294,5376.0,17273.0
ALL_SELECTION,selection,etr,0.44399111067989294,5376.0,17273.0
ALL_SELECTION,selection,item_topdown,0.3720249614405777,5376.0,17273.0
ALL_SELECTION,selection,lgbm,0.393859860734525,5376.0,17273.0
ALL_SELECTION,selection,wbaseline,0.34198794584437686,5376.0,17273.0
